
Query: 22-311_R1.fastq.gz	DB: RefSeq	SketchLen: 5148	Seqs: 5004 	Bases: 755604	gSize: 32183	GC: 0.632	Quality: 0.9788	AvgCount: 2.317	Depth: 2.006	File: 22-311_R1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
0.27%	0.06%	84.57%	.	0	22.10%	1.73%	0.04%	0.25%	9.210	8.74e-138	2.409	1.659	0.037	104.8	14	0	9	99	25	22891	2182391	-1	5103281	5101204	5014248	67	0.658	22891	5148	22891	5148	89	Xanthomonas sp. BRIP62418	.	tid|2182391|NZ_QEZG01000037.1 Xanthomonas sp. BRIP62418 BRIP62418contig39, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas sp. BRIP62418
0.25%	0.06%	84.25%	.	0	21.80%	1.75%	0.04%	0.25%	8.479	8.00e-125	2.376	1.472	0.034	112.6	13	0	7	99	25	23197	1843580	-1	5254357	5252559	5167970	58	0.654	23197	5148	23197	5148	90	Xanthomonas floridensis	.	tid|1843580|NZ_LXNG01000018.1 Xanthomonas floridensis strain WHRI 8848 scf_21893_25, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas floridensis
0.23%	0.05%	83.84%	.	0	21.99%	1.77%	0.04%	0.25%	7.889	4.31e-112	2.438	1.947	0.032	127.7	12	0	7	99	25	22994	1219375	-1	5270756	5255729	5039226	7	0.652	22994	5148	22994	5148	91	Xanthomonas cassavae CFBP 4642	.	tid|1219375|NZ_CM002140.1 Xanthomonas cassavae CFBP 4642 plasmid unnamed1, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas cassavae
0.23%	0.05%	83.75%	.	0	20.10%	1.50%	0.02%	0.23%	7.755	6.45e-106	2.636	1.069	0.034	132.1	12	0	7	99	19	25224	473426	-1	10815K	10815K	6671179	5	0.646	25224	5148	25224	5148	77	Xanthomonas citri pv. vignicola	.	tid|473426|NZ_CP022270.1 Xanthomonas citri pv. vignicola strain CFBP7113 chromosome, complete genome	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas citri
0.23%	0.04%	83.20%	.	0	18.66%	1.20%	0.02%	0.19%	7.637	6.92e-100	2.537	0.363	0.033	116.8	12	0	7	99	14	27252	442694	-1	716987K	715930K	8387920	29138	0.647	27252	5148	27252	5148	62	Xanthomonas perforans	.	tid|442694|NZ_CP018476.1 Xanthomonas perforans strain LH3 plasmid pLH3.2, complete sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas perforans
0.21%	0.05%	83.67%	.	0	21.85%	1.77%	0.04%	0.25%	7.344	6.73e-104	2.510	1.460	0.030	138.8	11	0	8	99	25	23140	1736275	-1	5217728	5215028	5215028	15	0.641	23140	5148	23140	5148	91	Xanthomonas sp. Leaf148	.	tid|1736275|NZ_LMOP01000012.1 Xanthomonas sp. Leaf148 contig_6, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas sp. Leaf148
0.21%	0.05%	83.27%	.	0	22.77%	1.79%	0.04%	0.25%	7.335	1.55e-99	1.710	0.187	0.023	83.36	11	0	6	99	27	22201	48664	-1	241111K	240445K	4541578	18523	0.623	22201	5148	22201	5148	92	Xanthomonas fragariae	.	tid|48664|NZ_ORYG01000309.1 Xanthomonas fragariae strain F1-80 isolate F1-80, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas fragariae
0.21%	0.05%	83.65%	.	0	22.60%	1.79%	0.04%	0.25%	7.296	3.36e-104	2.510	2.510	0.030	142.6	11	0	6	99	27	22376	1101443	-1	4799653	4799591	4702970	2	0.652	22376	5148	22376	5148	92	Xanthomonas axonopodis pv. commiphoreae	.	tid|1101443|NZ_CP031059.1 Xanthomonas axonopodis pv. commiphoreae strain LMG26789 chromosome, complete genome	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas axonopodis
0.21%	0.05%	83.33%	.	0	21.69%	1.73%	0.04%	0.25%	7.287	4.80e-99	2.510	0.691	0.030	123.0	11	0	7	99	24	23323	2053930	-1	15967K	15960K	5348960	204	0.640	23323	5148	23323	5148	89	Xanthomonas prunicola	.	tid|2053930|NZ_PHKW01000012.1 Xanthomonas prunicola strain CFBP8354 CFBP835412, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas prunicola
0.21%	0.05%	83.35%	.	0	21.56%	1.73%	0.04%	0.25%	7.272	6.09e-99	2.510	0.940	0.030	127.9	11	0	7	99	23	23461	1885894	-1	9594201	9578174	5417790	517	0.657	23461	5148	23461	5148	89	Xanthomonas cannabis pv. cannabis	.	tid|1885894|NZ_JSZE01000078.1 Xanthomonas cannabis pv. cannabis strain NCPPB 2877 contig_78, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas cannabis

