
Query: 22-335_R1.fastq.gz	DB: RefSeq	SketchLen: 4546	Seqs: 4940 	Bases: 724368	gSize: 28420	GC: 0.636	Quality: 0.9151	AvgCount: 2.111	Depth: 1.737	File: 22-335_R1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
0.26%	0.05%	84.48%	.	0	19.72%	1.87%	0.02%	0.35%	7.681	1.77e-121	2.733	1.048	0.035	101.9	12	1	7	83	29	22626	56449	-1	9752615	9741164	4885858	357	0.640	22626	4546	22626	4546	85	Xanthomonas bromi	.	tid|56449|NZ_FLTX01000020.1 Xanthomonas bromi isolate LMG947, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas bromi
0.26%	0.05%	84.58%	.	0	19.13%	1.78%	0.02%	0.33%	7.649	4.81e-121	2.733	0.743	0.035	91.08	12	0	9	83	26	23339	925775	-1	10880K	10871K	5315200	299	0.641	23339	4546	23339	4546	81	Xanthomonas vesicatoria ATCC 35937	.	tid|925775|NZ_CP018726.1 Xanthomonas vesicatoria ATCC 35937 strain LMG911 plasmid pLMG911.1, complete sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas vesicatoria
0.24%	0.05%	84.03%	.	0	20.63%	1.94%	0.02%	0.37%	7.101	3.12e-109	2.724	1.965	0.032	97.36	11	0	8	83	40	21611	1440766	-1	4253478	4242321	4198989	345	0.647	21611	4546	21611	4546	88	Xanthomonas pisi DSM 18956	.	tid|1440766|NZ_JPLE01000008.1 Xanthomonas pisi DSM 18956 Contig_8, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas pisi
0.24%	0.05%	84.22%	.	0	19.93%	1.91%	0.02%	0.37%	7.059	1.12e-113	2.830	2.830	0.033	106.0	11	0	8	83	30	22376	1101443	-1	4799653	4799591	4702970	2	0.652	22376	4546	22376	4546	87	Xanthomonas axonopodis pv. commiphoreae	.	tid|1101443|NZ_CP031059.1 Xanthomonas axonopodis pv. commiphoreae strain LMG26789 chromosome, complete genome	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas axonopodis
0.24%	0.05%	84.34%	.	0	19.14%	1.80%	0.02%	0.33%	6.908	4.52e-113	2.724	0.580	0.032	118.7	11	0	6	83	26	23323	2053930	-1	15967K	15960K	5348960	204	0.640	23323	4546	23323	4546	82	Xanthomonas prunicola	.	tid|2053930|NZ_PHKW01000012.1 Xanthomonas prunicola strain CFBP8354 CFBP835412, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas prunicola
0.22%	0.04%	83.99%	.	0	19.23%	1.87%	0.02%	0.37%	6.388	2.81e-100	2.944	1.665	0.031	94.40	10	0	7	83	27	23197	1843580	-1	5254357	5252559	5167970	58	0.654	23197	4546	23197	4546	85	Xanthomonas floridensis	.	tid|1843580|NZ_LXNG01000018.1 Xanthomonas floridensis strain WHRI 8848 scf_21893_25, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas floridensis
0.22%	0.04%	83.92%	.	0	19.71%	1.91%	0.02%	0.37%	6.374	1.57e-100	2.830	1.276	0.030	101.2	10	0	6	83	29	22622	1885902	-1	4885384	4881825	4875255	91	0.657	22622	4546	22622	4546	87	Xanthomonas cannabis pv. phaseoli	.	tid|1885902|NZ_KN265469.1 Xanthomonas cannabis pv. phaseoli strain Nyagatare scf_52938_14, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas cannabis
0.22%	0.04%	83.82%	.	0	19.24%	1.87%	0.02%	0.37%	6.323	2.99e-95	2.944	1.120	0.031	113.0	10	0	6	83	27	23188	86186	-1	10607K	10587K	5177090	627	0.644	23188	4546	23188	4546	85	[Pseudomonas] cissicola	.	tid|86186|NZ_VZPL01000027.1 [Pseudomonas] cissicola strain CCUG 18839 contig_0000027, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:[Pseudomonas] cissicola
0.22%	0.04%	84.05%	.	0	18.64%	1.78%	0.02%	0.33%	6.297	8.20e-105	2.830	0.992	0.030	111.7	10	0	6	83	26	23949	1843581	-1	9645533	9637468	5713140	250	0.645	23949	4546	23949	4546	81	Xanthomonas nasturtii	.	tid|1843581|NZ_QUZM01000007.1 Xanthomonas nasturtii strain WHRI 8984 scf_5921_7, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonas nasturtii

